File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
boyer_moore.cpp,C-Plus-Plus,100.0,100.0,0.0,95.83333333333334,95.83333333333334,0.0
cycle_sort.cpp,C-Plus-Plus,90.3225806451613,90.3225806451613,0.0,68.18181818181819,68.18181818181819,0.0
horspool.cpp,C-Plus-Plus,100.0,100.0,0.0,88.75,88.75,0.0
karatsuba.cpp,C-Plus-Plus,95.0,95.0,0.0,91.66666666666666,91.66666666666666,0.0
library_sort.cpp,C-Plus-Plus,89.36170212765957,89.36170212765957,0.0,70.0,70.0,0.0
manacher_algorithm.cpp,C-Plus-Plus,97.43589743589743,97.43589743589743,0.0,75.0,75.0,0.0
odd_even_sort.cpp,C-Plus-Plus,100.0,100.0,0.0,80.0,80.0,0.0
radix_sort2.cpp,C-Plus-Plus,100.0,100.0,0.0,50.0,50.0,0.0
radix_sort.cpp,C-Plus-Plus,100.0,100.0,0.0,61.111111111111114,61.111111111111114,0.0
swap_sort.cpp,C-Plus-Plus,100.0,100.0,0.0,70.0,70.0,0.0
tim_sort.cpp,C-Plus-Plus,82.05128205128206,82.05128205128206,0.0,72.22222222222221,72.22222222222221,0.0
