File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
base64.h,algorithms,100.0,100.0,0.0,79.16666666666667,79.16666666666667,0.0
binary_search_tree.h,algorithms,98.03921568627452,98.03921568627452,0.0,95.83333333333333,95.83333333333333,0.0
insertion_sort.h,algorithms,100.0,100.0,0.0,100.0,100.0,0.0
kmp.h,algorithms,100.0,100.0,0.0,100.0,100.0,0.0
max_subarray.h,algorithms,100.0,100.0,0.0,100.0,100.0,0.0
palindrome.h,algorithms,100.0,100.0,0.0,87.5,87.5,0.0
boyer_moore.cpp,C-Plus-Plus,100.0,100.0,0.0,95.83333333333334,95.83333333333334,0.0
cycle_sort.cpp,C-Plus-Plus,90.3225806451613,90.3225806451613,0.0,68.18181818181819,68.18181818181819,0.0
horspool.cpp,C-Plus-Plus,100.0,100.0,0.0,88.75,88.75,0.0
karatsuba.cpp,C-Plus-Plus,95.0,95.0,0.0,91.66666666666666,91.66666666666666,0.0
library_sort.cpp,C-Plus-Plus,89.36170212765957,89.36170212765957,0.0,70.0,70.0,0.0
manacher_algorithm.cpp,C-Plus-Plus,97.43589743589743,97.43589743589743,0.0,75.0,75.0,0.0
odd_even_sort.cpp,C-Plus-Plus,100.0,100.0,0.0,80.0,80.0,0.0
radix_sort2.cpp,C-Plus-Plus,100.0,100.0,0.0,50.0,50.0,0.0
radix_sort.cpp,C-Plus-Plus,100.0,100.0,0.0,61.111111111111114,61.111111111111114,0.0
swap_sort.cpp,C-Plus-Plus,100.0,100.0,0.0,70.0,70.0,0.0
tim_sort.cpp,C-Plus-Plus,82.05128205128206,82.05128205128206,0.0,72.22222222222221,72.22222222222221,0.0
hjson_decode.cpp,hjson,44.7002970320278,44.7002970320278,0.0,37.88337924701561,37.88337924701561,0.0
hjson_encode.cpp,hjson,50.65007841620745,50.65007841620745,0.0,36.97480297480298,36.97480297480298,0.0
json.cpp,json_cpp,81.00310317701623,81.00310317701623,0.0,72.90095525389643,72.90095525389643,0.0
tinyxml.cpp,tinyxml2,83.9262118023928,83.9262118023928,0.0,65.37279924376699,65.37279924376699,0.0
