Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
_errAt_Parsermul_std_string_const_,hjson_decode.cpp,hjson,0.0,0.0,0.0,0.0,0.0,0.0
_escapee_unsigned_char_,hjson_decode.cpp,hjson,100.0,100.0,0.0,100.0,100.0,0.0
_getCommentAfter_Parsermul_,hjson_decode.cpp,hjson,0.0,0.0,0.0,0.0,0.0,0.0
_isPunctuatorChar_char_,hjson_decode.cpp,hjson,100.0,100.0,0.0,NaN,NaN,NaN
_next_Parsermul_,hjson_decode.cpp,hjson,100.0,100.0,0.0,100.0,100.0,0.0
_parseLoop_Parsermul_,hjson_decode.cpp,hjson,18.75,18.75,0.0,22.22222222222222,22.22222222222222,0.0
_peek_Parsermul_int_,hjson_decode.cpp,hjson,100.0,100.0,0.0,100.0,100.0,0.0
_prev_Parsermul_,hjson_decode.cpp,hjson,100.0,100.0,0.0,100.0,100.0,0.0
_readArrayBegin_Parsermul_,hjson_decode.cpp,hjson,60.0,60.0,0.0,50.0,50.0,0.0
_readArrayElemEnd_Parsermul_,hjson_decode.cpp,hjson,15.0,15.0,0.0,0.0,0.0,0.0
_readKeyname_Parsermul_,hjson_decode.cpp,hjson,0.0,0.0,0.0,0.0,0.0,0.0
_readMLString_Parsermul_,hjson_decode.cpp,hjson,52.5,52.5,0.0,41.666666666666664,41.666666666666664,0.0
_readObjectBegin_Parsermul_,hjson_decode.cpp,hjson,0.0,0.0,0.0,0.0,0.0,0.0
_readObjectElemBegin_Parsermul_,hjson_decode.cpp,hjson,0.0,0.0,0.0,0.0,0.0,0.0
_readObjectElemEnd_Parsermul_,hjson_decode.cpp,hjson,0.0,0.0,0.0,0.0,0.0,0.0
_readString_Parsermul_bool_,hjson_decode.cpp,hjson,11.11111111111111,11.11111111111111,0.0,4.545454545454546,4.545454545454546,0.0
_readTfnns2_Parsermul_size_t_,hjson_decode.cpp,hjson,90.625,90.625,0.0,75.0,75.0,0.0
_readTfnns_Parsermul_,hjson_decode.cpp,hjson,40.0,40.0,0.0,NaN,NaN,NaN
_readValueBegin_Parsermul_,hjson_decode.cpp,hjson,30.76923076923077,30.76923076923077,0.0,25.0,25.0,0.0
_readValueEnd_Parsermul_,hjson_decode.cpp,hjson,0.0,0.0,0.0,NaN,NaN,NaN
_resetAt_Parsermul_,hjson_decode.cpp,hjson,100.0,100.0,0.0,NaN,NaN,NaN
_rootValue_Parsermul_,hjson_decode.cpp,hjson,47.61904761904762,47.61904761904762,0.0,40.0,40.0,0.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_,hjson_decode.cpp,hjson,0.0,0.0,0.0,0.0,0.0,0.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_CommentInfo_const_,hjson_decode.cpp,hjson,33.333333333333336,33.333333333333336,0.0,25.0,25.0,0.0
_toUtf8_std_vector_char_uint32_t_,hjson_decode.cpp,hjson,100.0,100.0,0.0,100.0,100.0,0.0
_white_Parsermul_,hjson_decode.cpp,hjson,62.5,62.5,0.0,50.0,50.0,0.0
_fromUtf8_unsigned_char_constmulmul_size_tmul_,hjson_encode.cpp,hjson,86.66666666666667,86.66666666666667,0.0,77.77777777777777,77.77777777777777,0.0
_isInComment_std_string_const_,hjson_encode.cpp,hjson,100.0,100.0,0.0,85.71428571428571,85.71428571428571,0.0
_marshalLoop_Encodermul_Value_const_,hjson_encode.cpp,hjson,30.0,30.0,0.0,33.333333333333336,33.333333333333336,0.0
_marshalStream_Value_const_EncoderOptions_const_std_ostreammul_,hjson_encode.cpp,hjson,84.61538461538461,84.61538461538461,0.0,33.333333333333336,33.333333333333336,0.0
_meta_char_,hjson_encode.cpp,hjson,100.0,100.0,0.0,100.0,100.0,0.0
_mlString_Encodermul_std_string_const_,hjson_encode.cpp,hjson,28.0,28.0,0.0,16.666666666666668,16.666666666666668,0.0
_objElem_Encodermul_std_string_const_Value_const_boolmul_std_string_const_,hjson_encode.cpp,hjson,23.076923076923077,23.076923076923077,0.0,10.0,10.0,0.0
_quoteForComment_Encodermul_std_string_const_,hjson_encode.cpp,hjson,100.0,100.0,0.0,85.71428571428571,85.71428571428571,0.0
_quoteName_Encodermul_std_string_const_,hjson_encode.cpp,hjson,28.571428571428573,28.571428571428573,0.0,25.0,25.0,0.0
_quoteReplace_Encodermul_std_string_const_,hjson_encode.cpp,hjson,22.727272727272727,22.727272727272727,0.0,8.333333333333334,8.333333333333334,0.0
_quote_Encodermul_std_string_const_bool_,hjson_encode.cpp,hjson,22.727272727272727,22.727272727272727,0.0,16.666666666666668,16.666666666666668,0.0
_writeIndent_Encodermul_int_,hjson_encode.cpp,hjson,0.0,0.0,0.0,0.0,0.0,0.0
_writeMapElemBegin_Encodermul_,hjson_encode.cpp,hjson,32.25806451612903,32.25806451612903,0.0,22.22222222222222,22.22222222222222,0.0
_writeValueBegin_Encodermul_,hjson_encode.cpp,hjson,34.61538461538461,34.61538461538461,0.0,30.76923076923077,30.76923076923077,0.0
_writeValueEnd_Encodermul_,hjson_encode.cpp,hjson,100.0,100.0,0.0,NaN,NaN,NaN
_writeVectorElemBegin_Encodermul_,hjson_encode.cpp,hjson,17.142857142857142,17.142857142857142,0.0,9.090909090909092,9.090909090909092,0.0
AVERAGE - hjson,,hjson,46.96688041647719,46.96688041647719,0.0,37.51503751503751,37.51503751503751,0.0
