Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
_escapee_unsigned_char_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_getCommentAfter_Parsermul_,hjson_decode.cpp,hjson_cpp,62.5,62.5,0.0,44.44,44.44,0.0
_next_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_parseLoop_Parsermul_,hjson_decode.cpp,hjson_cpp,18.75,18.75,0.0,33.33,33.33,0.0
_peek_Parsermul_int_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_prev_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_readArrayBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_readArrayElemEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,15.0,15.0,0.0,0.0,0.0,0.0
_readKeyname_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_readMLString_Parsermul_,hjson_decode.cpp,hjson_cpp,70.0,70.0,0.0,54.17,54.17,0.0
_readObjectBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_readObjectElemBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_readObjectElemEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_readString_Parsermul_bool_,hjson_decode.cpp,hjson_cpp,30.56,30.56,0.0,31.82,31.82,0.0
_readTfnns2_Parsermul_size_t_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_readTfnns_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_readValueBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,61.54,61.54,0.0,75.0,75.0,0.0
_readValueEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_rootValue_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_CommentInfo_const_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_toUtf8_std_vector_char_uint32_t_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_white_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_fromUtf8_unsigned_char_constmulmul_size_tmul_,hjson_encode.cpp,hjson_cpp,10.0,10.0,0.0,0.0,0.0,0.0
_isInComment_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,85.71,85.71,0.0
_marshalLoop_Encodermul_Value_const_,hjson_encode.cpp,hjson_cpp,30.0,30.0,0.0,50.0,50.0,0.0
_marshalStream_Value_const_EncoderOptions_const_std_ostreammul_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_meta_char_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_mlString_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_objElem_Encodermul_std_string_const_Value_const_boolmul_std_string_const_,hjson_encode.cpp,hjson_cpp,80.77,80.77,0.0,65.0,65.0,0.0
_quoteForComment_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,87.5,87.5,0.0,71.43,71.43,0.0
_quoteName_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,85.71,85.71,0.0,75.0,75.0,0.0
_quoteReplace_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_quote_Encodermul_std_string_const_bool_,hjson_encode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_writeIndent_Encodermul_int_,hjson_encode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_writeMapElemBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,80.65,80.65,0.0,50.0,50.0,0.0
_writeValueBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,34.62,34.62,0.0,30.77,30.77,0.0
_writeVectorElemBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
AVERAGE - hjson_cpp,,hjson_cpp,43.88,43.88,0.0,41.23,41.23,0.0
