Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
Json_contains_std_string_const_,json.cpp,json_cpp,0.0,0.0,0.0,0.0,0.0,0.0
Json_getArray_,json.cpp,json_cpp,66.66666666666667,66.66666666666667,0.0,50.0,50.0,0.0
Json_getBool_,json.cpp,json_cpp,66.66666666666667,66.66666666666667,0.0,50.0,50.0,0.0
Json_getDouble_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getFloat_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getNumber_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getObject_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getString_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_Json_char_constmul_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_Json_Json_,json.cpp,json_cpp,72.22222222222223,72.22222222222223,0.0,66.66666666666667,66.66666666666667,0.0
Json_Json_Json_const_,json.cpp,json_cpp,0.0,0.0,0.0,0.0,0.0,0.0
Json_Json_unsigned_long_,json.cpp,json_cpp,60.0,60.0,0.0,50.0,50.0,0.0
Json_Json_unsigned_long_long_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_operatorequal_Json_,json.cpp,json_cpp,91.30434782608695,91.30434782608695,0.0,76.92307692307692,76.92307692307692,0.0
Json_operatorequal_Json_const_,json.cpp,json_cpp,95.45454545454545,95.45454545454545,0.0,92.3076923076923,92.3076923076923,0.0
Json_operator_size_t_,json.cpp,json_cpp,80.0,80.0,0.0,75.0,75.0,0.0
Json_operator_std_string_const_,json.cpp,json_cpp,0.0,0.0,0.0,0.0,0.0,0.0
Json_parse_std_string_const_,json.cpp,json_cpp,90.9090909090909,90.9090909090909,0.0,75.0,75.0,0.0
Json_setArray_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_setObject_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_StatusToString_Json_Status_,json.cpp,json_cpp,97.14285714285714,97.14285714285714,0.0,97.05882352941177,97.05882352941177,0.0
Json_toStringPretty_,json.cpp,json_cpp,100.0,100.0,0.0,NaN,NaN,NaN
Json_toString_,json.cpp,json_cpp,100.0,100.0,0.0,NaN,NaN,NaN
LongToString_charmul_long_long_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
StringToDouble_char_constmul_size_t_intmul_,json.cpp,json_cpp,85.71428571428571,85.71428571428571,0.0,50.0,50.0,0.0
UlongToString_charmul_unsigned_long_long_,json.cpp,json_cpp,100.0,100.0,0.0,66.66666666666667,66.66666666666667,0.0
AVERAGE - json_cpp,,json_cpp,81.00310317701623,81.00310317701623,0.0,72.90095525389643,72.90095525389643,0.0
