Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
StrPair_GetStr_,tinyxml2.cpp,tinyxml2,28.12,28.12,0.0,23.68,23.68,0.0
StrPair_ParseName_charmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
StrPair_ParseText_charmul_char_constmul_int_intmul_,tinyxml2.cpp,tinyxml2,52.63,52.63,0.0,21.43,21.43,0.0
StrPair_Reset_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
StrPair_SetStr_char_constmul_int_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
StrPair_TransferTo_StrPairmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,60.0,60.0,0.0
XMLAttribute_QueryBoolValue_boolmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLAttribute_QueryDoubleValue_doublemul_,tinyxml2.cpp,tinyxml2,33.33,33.33,0.0,0.0,0.0,0.0
XMLAttribute_QueryFloatValue_floatmul_,tinyxml2.cpp,tinyxml2,66.67,66.67,0.0,50.0,50.0,0.0
XMLAttribute_QueryInt64Value_int64_tmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLAttribute_QueryIntValue_intmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLAttribute_QueryUnsigned64Value_uint64_tmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLAttribute_QueryUnsignedValue_unsigned_intmul_,tinyxml2.cpp,tinyxml2,33.33,33.33,0.0,0.0,0.0,0.0
XMLComment_Accept_XMLVisitormul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
XMLComment_ShallowClone_XMLDocumentmul_,tinyxml2.cpp,tinyxml2,75.0,75.0,0.0,50.0,50.0,0.0
XMLComment_ShallowEqual_XMLNode_constmul_,tinyxml2.cpp,tinyxml2,75.0,75.0,0.0,50.0,50.0,0.0
XMLDeclaration_Accept_XMLVisitormul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
XMLDeclaration_ShallowClone_XMLDocumentmul_,tinyxml2.cpp,tinyxml2,75.0,75.0,0.0,50.0,50.0,0.0
XMLDeclaration_ShallowEqual_XMLNode_constmul_,tinyxml2.cpp,tinyxml2,75.0,75.0,0.0,50.0,50.0,0.0
XMLDocument_Accept_XMLVisitormul_,tinyxml2.cpp,tinyxml2,66.67,66.67,0.0,25.0,25.0,0.0
XMLDocument_DeepCopy_XMLDocumentmul_,tinyxml2.cpp,tinyxml2,44.44,44.44,0.0,33.33,33.33,0.0
XMLDocument_DeleteNode_XMLNodemul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLDocument_Identify_charmul_XMLNodemulmul_bool_,tinyxml2.cpp,tinyxml2,70.31,70.31,0.0,53.57,53.57,0.0
XMLDocument_MarkInUse_XMLNode_constmul_const_,tinyxml2.cpp,tinyxml2,90.0,90.0,0.0,37.5,37.5,0.0
XMLDocument_Parse_char_constmul_size_t_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,87.5,87.5,0.0
XMLElement_Accept_XMLVisitormul_,tinyxml2.cpp,tinyxml2,33.33,33.33,0.0,12.5,12.5,0.0
XMLElement_Attribute_char_constmul_char_constmul_,tinyxml2.cpp,tinyxml2,66.67,66.67,0.0,50.0,50.0,0.0
XMLElement_DeleteAttribute_char_constmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLElement_DeleteAttribute_XMLAttributemul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLElement_FindAttribute_char_constmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,75.0,75.0,0.0
XMLElement_GetText_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLElement_QueryBoolText_boolmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLElement_QueryDoubleText_doublemul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLElement_QueryFloatText_floatmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLElement_QueryInt64Text_int64_tmul_,tinyxml2.cpp,tinyxml2,33.33,33.33,0.0,25.0,25.0,0.0
XMLElement_QueryIntText_intmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLElement_QueryUnsigned64Text_uint64_tmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLElement_QueryUnsignedText_unsignedmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLElement_SetText_char_constmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLElement_ShallowClone_XMLDocumentmul_,tinyxml2.cpp,tinyxml2,87.5,87.5,0.0,50.0,50.0,0.0
XMLElement_ShallowEqual_XMLNode_constmul_,tinyxml2.cpp,tinyxml2,33.33,33.33,0.0,20.0,20.0,0.0
XMLNode_ChildElementCount_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLNode_ChildElementCount_char_constmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLNode_DeepClone_XMLDocumentmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLNode_DeleteChildren_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
XMLNode_DeleteChild_XMLNodemul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
XMLNode_FirstChildElement_char_constmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLNode_InsertAfterChild_XMLNodemul_XMLNodemul_,tinyxml2.cpp,tinyxml2,26.09,26.09,0.0,12.5,12.5,0.0
XMLNode_InsertEndChild_XMLNodemul_,tinyxml2.cpp,tinyxml2,52.17,52.17,0.0,21.43,21.43,0.0
XMLNode_InsertFirstChild_XMLNodemul_,tinyxml2.cpp,tinyxml2,13.04,13.04,0.0,7.14,7.14,0.0
XMLNode_LastChildElement_char_constmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
XMLNode_NextSiblingElement_char_constmul_,tinyxml2.cpp,tinyxml2,42.86,42.86,0.0,0.0,0.0,0.0
XMLNode_PreviousSiblingElement_char_constmul_,tinyxml2.cpp,tinyxml2,42.86,42.86,0.0,0.0,0.0,0.0
XMLNode_SetValue_char_constmul_bool_,tinyxml2.cpp,tinyxml2,66.67,66.67,0.0,50.0,50.0,0.0
XMLNode_Value_,tinyxml2.cpp,tinyxml2,66.67,66.67,0.0,50.0,50.0,0.0
XMLPrinter_CloseElement_bool_,tinyxml2.cpp,tinyxml2,53.33,53.33,0.0,50.0,50.0,0.0
XMLPrinter_VisitEnter_XMLDocument_const_,tinyxml2.cpp,tinyxml2,75.0,75.0,0.0,50.0,50.0,0.0
XMLPrinter_VisitEnter_XMLElement_const_XMLAttribute_constmul_,tinyxml2.cpp,tinyxml2,66.67,66.67,0.0,50.0,50.0,0.0
XMLPrinter_XMLPrinter_FILEmul_bool_int_EscapeAposCharsInAttributes_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,62.5,62.5,0.0
XMLText_Accept_XMLVisitormul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
XMLText_ShallowClone_XMLDocumentmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLText_ShallowEqual_XMLNode_constmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
XMLUnknown_Accept_XMLVisitormul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
XMLUnknown_ShallowClone_XMLDocumentmul_,tinyxml2.cpp,tinyxml2,75.0,75.0,0.0,50.0,50.0,0.0
XMLUnknown_ShallowEqual_XMLNode_constmul_,tinyxml2.cpp,tinyxml2,0.0,0.0,0.0,0.0,0.0,0.0
