Function Name,Statement_CW,Statement_LLM4Cpp,Statement_Δ,Branch_CW,Branch_LLM4Cpp,Branch_Δ
Json_Json_Json_,72.22,94.44,22.22,66.67,88.89,22.22
Json_getArray_,66.67,100,33.33,50,100,50
Json_getBool_,66.67,100,33.33,50,100,50
Json_operator_size_t_,80,100,20,75,75,0
Json_operatorequal_Json_,91.3,95.65,4.35,76.92,92.31,15.38
Json_parse_std_string_const_,90.91,63.64,-27.27,75,25,-50
StrPair_ParseText_charmul_char_constmul_int_intmul_,94.74,100,5.26,57.14,64.29,7.14
StrPair_TransferTo_StrPairmul_,94.12,100,5.88,50,60,10
StringToDouble_char_constmul_size_t_intmul_,85.71,100,14.29,50,75,25
XMLDocument_Accept_XMLVisitormul_,33.33,88.89,55.56,12.5,62.5,50
XMLDocument_Identify_charmul_XMLNodemulmul_bool_,87.5,93.75,6.25,64.29,71.43,7.14
XMLElement_Accept_XMLVisitormul_,88.89,88.89,0,50,37.5,-12.5
XMLElement_DeleteAttribute_char_constmul_,90.91,100,9.09,66.67,100,33.33
XMLElement_SetText_char_constmul_,75,100,25,50,100,50
XMLNode_ChildElementCount_char_constmul_,66.67,100,33.33,50,100,50
XMLNode_InsertAfterChild_XMLNodemul_XMLNodemul_,39.13,69.57,30.43,37.5,56.25,18.75
XMLNode_InsertEndChild_XMLNodemul_,86.96,100,13.04,35.71,42.86,7.14
XMLNode_InsertFirstChild_XMLNodemul_,86.96,100,13.04,35.71,42.86,7.14
XMLNode_NextSiblingElement_char_constmul_,14.29,100,85.71,0,75,75
XMLNode_PreviousSiblingElement_char_constmul_,42.86,100,57.14,0,75,75
XMLPrinter_CloseElement_bool_,53.33,93.33,40,50,87.5,37.5
XMLPrinter_VisitEnter_XMLElement_const_XMLAttribute_constmul_,66.67,77.78,11.11,50,75,25
_fromUtf8_unsigned_char_constmulmul_size_tmul_,86.67,96.67,10,77.78,88.89,11.11
_marshalLoop_Encodermul_Value_const_,30,40,10,33.33,66.67,33.33
_marshalStream_Value_const_EncoderOptions_const_std_ostreammul_,84.62,100,15.38,33.33,50,16.67
_mlString_Encodermul_std_string_const_,28,96,68,16.67,91.67,75
_objElem_Encodermul_std_string_const_Value_const_boolmul_std_string_const_,23.08,92.31,69.23,10,80,70
_parseLoop_Parsermul_,18.75,31.25,12.5,22.22,44.44,22.22
_quoteName_Encodermul_std_string_const_,28.57,100,71.43,25,100,75
_quoteReplace_Encodermul_std_string_const_,22.73,22.73,0,8.33,16.67,8.33
_quote_Encodermul_std_string_const_bool_,22.73,50,27.27,16.67,50,33.33
_readMLString_Parsermul_,52.5,55,2.5,41.67,45.83,4.17
_readString_Parsermul_bool_,11.11,25,13.89,4.55,18.18,13.64
_readTfnns2_Parsermul_size_t_,90.62,62.5,-28.12,75,53.57,-21.43
_readTfnns_Parsermul_,40,100,60,,,
_readValueBegin_Parsermul_,30.77,61.54,30.77,25,75,50
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_CommentInfo_const_,33.33,66.67,33.33,25,75,50
_white_Parsermul_,62.5,100,37.5,50,66.67,16.67
_writeMapElemBegin_Encodermul_,32.26,45.16,12.9,22.22,33.33,11.11
_writeValueBegin_Encodermul_,34.62,11.54,-23.08,30.77,7.69,-23.08
_writeVectorElemBegin_Encodermul_,17.14,42.86,25.71,9.09,36.36,27.27
init_good_suffix_std_string_const_std_vector_size_t_,100,100,0,91.67,83.33,-8.33
librarySort_intmul_int_,89.36,100,10.64,70,70,0
safe_substr_std_string_const_int64_t_int64_t_int64_t_,90,100,10,83.33,100,16.67
