Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
CBase64_decodeBase64_std_string_,base64.h,algorithms,100.0,100.0,0.0,75.0,75.0,0.0
CBase64_encodeBase64_unsigned_charmul_int_,base64.h,algorithms,100.0,100.0,0.0,87.5,87.5,0.0
CBase64_indexOfCode_char_const_,base64.h,algorithms,100.0,100.0,0.0,75.0,75.0,0.0
BST_KeyT_ValueT_deleteKey_KeyT_const_,binary_search_tree.h,algorithms,94.11764705882354,94.11764705882354,0.0,75.0,87.5,12.5
BST_KeyT_ValueT_find_KeyT_const_,binary_search_tree.h,algorithms,100.0,100.0,0.0,100.0,100.0,0.0
BST_KeyT_ValueT_insert_KeyT_const_ValueT_const_,binary_search_tree.h,algorithms,100.0,100.0,0.0,100.0,100.0,0.0
insertion_sort_Tmul_int_,insertion_sort.h,algorithms,100.0,100.0,0.0,100.0,100.0,0.0
kmp_search_char_constmul_char_constmul_,kmp.h,algorithms,93.75,100.0,6.25,87.5,100.0,12.5
kmp_table_char_constmul_intmul_int_,kmp.h,algorithms,92.3076923076923,92.3076923076923,0.0,83.33333333333333,83.33333333333333,0.0
max_subarray_int_int_intmul_intmul_,max_subarray.h,algorithms,100.0,100.0,0.0,100.0,100.0,0.0
palindrome_char_constmul_,palindrome.h,algorithms,93.54838709677419,100.0,6.451612903225808,81.25,87.5,6.25
AVERAGE - algorithms,,algorithms,97.61124786029909,98.76593994241053,1.154692082111437,87.68939393939394,90.53030303030303,2.840909090909091
