File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
base64.h,algorithms,100.0,100.0,0.0,79.16666666666667,79.16666666666667,0.0
binary_search_tree.h,algorithms,98.03921568627452,98.03921568627452,0.0,91.66666666666667,95.83333333333333,4.166666666666667
insertion_sort.h,algorithms,100.0,100.0,0.0,100.0,100.0,0.0
kmp.h,algorithms,93.02884615384616,100.0,6.971153846153847,85.41666666666666,100.0,14.583333333333336
max_subarray.h,algorithms,100.0,100.0,0.0,100.0,100.0,0.0
palindrome.h,algorithms,93.54838709677419,100.0,6.451612903225808,81.25,87.5,6.25
boyer_moore.cpp,C-Plus-Plus,100.0,100.0,0.0,91.66666666666666,91.66666666666666,0.0
cycle_sort.cpp,C-Plus-Plus,83.87096774193549,90.3225806451613,6.451612903225808,59.09090909090909,68.18181818181819,9.090909090909093
horspool.cpp,C-Plus-Plus,100.0,100.0,0.0,88.75,88.75,0.0
karatsuba.cpp,C-Plus-Plus,95.0,100.0,5.0,91.66666666666666,100.0,8.333333333333336
library_sort.cpp,C-Plus-Plus,100.0,100.0,0.0,70.0,70.0,0.0
manacher_algorithm.cpp,C-Plus-Plus,97.43589743589743,97.43589743589743,0.0,75.0,75.0,0.0
odd_even_sort.cpp,C-Plus-Plus,100.0,100.0,0.0,80.0,80.0,0.0
radix_sort2.cpp,C-Plus-Plus,100.0,100.0,0.0,50.0,50.0,0.0
radix_sort.cpp,C-Plus-Plus,100.0,100.0,0.0,61.111111111111114,61.111111111111114,0.0
swap_sort.cpp,C-Plus-Plus,100.0,100.0,0.0,70.0,70.0,0.0
tim_sort.cpp,C-Plus-Plus,82.05128205128206,82.05128205128206,0.0,72.22222222222221,72.22222222222221,0.0
hjson_decode.cpp,hjson,68.54774475802904,76.02750579966299,7.479761041633951,54.76403646858193,64.62514757969304,9.86111111111111
hjson_encode.cpp,hjson,51.81221433136756,74.82865790123854,23.01644356987099,37.817293817293816,64.51378251378252,26.696488696488696
json.cpp,json_cpp,87.6389526190606,96.31289006111399,8.673937442053385,79.81397687280041,90.04474610356964,10.230769230769232
tinyxml.cpp,tinyxml2,89.09590222284439,98.06693088039914,8.971028657554754,68.72186281460475,78.93174701642444,10.209884201819687
