Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
_escapee_unsigned_char_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_getCommentAfter_Parsermul_,hjson_decode.cpp,hjson_cpp,62.5,100.0,37.5,50.0,77.78,27.78
_next_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_parseLoop_Parsermul_,hjson_decode.cpp,hjson_cpp,75.0,87.5,12.5,77.78,100.0,22.22
_peek_Parsermul_int_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_prev_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_readArrayBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_readArrayElemEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,15.0,15.0,0.0,0.0,0.0,0.0
_readKeyname_Parsermul_,hjson_decode.cpp,hjson_cpp,95.45,95.45,0.0,88.89,88.89,0.0
_readMLString_Parsermul_,hjson_decode.cpp,hjson_cpp,75.0,95.0,20.0,58.33,70.83,12.5
_readObjectBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,54.55,100.0,45.45,50.0,100.0,50.0
_readObjectElemBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,72.22,77.78,5.56,70.0,80.0,10.0
_readObjectElemEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,13.04,65.22,52.17,0.0,50.0,50.0
_readString_Parsermul_bool_,hjson_decode.cpp,hjson_cpp,97.22,97.22,0.0,90.91,90.91,0.0
_readTfnns2_Parsermul_size_t_,hjson_decode.cpp,hjson_cpp,71.88,78.12,6.25,57.14,64.29,7.14
_readTfnns_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,0.0,0.0,0.0
_readValueBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,69.23,100.0,30.77,100.0,100.0,0.0
_readValueEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,0.0,0.0,0.0
_rootValue_Parsermul_,hjson_decode.cpp,hjson_cpp,76.19,85.71,9.52,40.0,60.0,20.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_CommentInfo_const_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_toUtf8_std_vector_char_uint32_t_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_white_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,66.67,66.67,0.0
_fromUtf8_unsigned_char_constmulmul_size_tmul_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,94.44,94.44,0.0
_isInComment_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,85.71,85.71,0.0
_marshalLoop_Encodermul_Value_const_,hjson_encode.cpp,hjson_cpp,30.0,60.0,30.0,33.33,83.33,50.0
_marshalStream_Value_const_EncoderOptions_const_std_ostreammul_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_meta_char_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_mlString_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,88.0,92.0,4.0,66.67,83.33,16.67
_objElem_Encodermul_std_string_const_Value_const_boolmul_std_string_const_,hjson_encode.cpp,hjson_cpp,84.62,96.15,11.54,65.0,80.0,15.0
_quoteForComment_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,85.71,85.71,0.0
_quoteName_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_quoteReplace_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,90.91,100.0,9.09,75.0,83.33,8.33
