Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
_errAt_Parsermul_std_string_const_,hjson_decode.cpp,hjson,92.3076923076923,100.0,7.692307692307693,62.5,87.5,25.0
_escapee_unsigned_char_,hjson_decode.cpp,hjson,100.0,100.0,0.0,100.0,100.0,0.0
_getCommentAfter_Parsermul_,hjson_decode.cpp,hjson,100.0,100.0,0.0,77.77777777777777,77.77777777777777,0.0
_isPunctuatorChar_char_,hjson_decode.cpp,hjson,100.0,100.0,0.0,NaN,NaN,NaN
_next_Parsermul_,hjson_decode.cpp,hjson,100.0,100.0,0.0,100.0,100.0,0.0
_parseLoop_Parsermul_,hjson_decode.cpp,hjson,18.75,31.25,12.5,22.22222222222222,44.44444444444444,22.22222222222222
_peek_Parsermul_int_,hjson_decode.cpp,hjson,100.0,100.0,0.0,100.0,100.0,0.0
_prev_Parsermul_,hjson_decode.cpp,hjson,100.0,100.0,0.0,100.0,100.0,0.0
_readArrayBegin_Parsermul_,hjson_decode.cpp,hjson,60.0,60.0,0.0,50.0,50.0,0.0
_readArrayElemEnd_Parsermul_,hjson_decode.cpp,hjson,15.0,15.0,0.0,0.0,0.0,0.0
_readKeyname_Parsermul_,hjson_decode.cpp,hjson,81.81818181818181,86.36363636363636,4.545454545454547,72.22222222222223,77.77777777777777,5.555555555555543
_readMLString_Parsermul_,hjson_decode.cpp,hjson,52.5,55.0,2.5,41.666666666666664,45.833333333333336,4.166666666666671
_readObjectBegin_Parsermul_,hjson_decode.cpp,hjson,54.54545454545455,54.54545454545455,0.0,50.0,50.0,0.0
_readObjectElemBegin_Parsermul_,hjson_decode.cpp,hjson,33.333333333333336,66.66666666666667,33.333333333333336,30.0,60.0,30.0
_readObjectElemEnd_Parsermul_,hjson_decode.cpp,hjson,13.043478260869565,69.56521739130434,56.52173913043478,0.0,50.0,50.0
_readString_Parsermul_bool_,hjson_decode.cpp,hjson,25.0,25.0,0.0,18.181818181818183,18.181818181818183,0.0
_readTfnns2_Parsermul_size_t_,hjson_decode.cpp,hjson,62.5,62.5,0.0,53.57142857142857,53.57142857142857,0.0
