Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
StrPair_GetStr_,tinyxml2.cpp,tinyxml2,93.75,93.75,0.0,73.68,76.32,2.63
StrPair_ParseName_charmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
StrPair_ParseText_charmul_char_constmul_int_intmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,64.29,64.29,0.0
StrPair_Reset_,tinyxml2.cpp,tinyxml2,80.0,100.0,20.0,50.0,100.0,50.0
StrPair_SetStr_char_constmul_int_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
StrPair_TransferTo_StrPairmul_,tinyxml2.cpp,tinyxml2,0.0,100.0,100.0,0.0,60.0,60.0
XMLAttribute_QueryBoolValue_boolmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLAttribute_QueryDoubleValue_doublemul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLAttribute_QueryFloatValue_floatmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLAttribute_QueryInt64Value_int64_tmul_,tinyxml2.cpp,tinyxml2,0.0,100.0,100.0,0.0,100.0,100.0
XMLAttribute_QueryIntValue_intmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLAttribute_QueryUnsigned64Value_uint64_tmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLAttribute_QueryUnsignedValue_unsigned_intmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLComment_Accept_XMLVisitormul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
XMLComment_ShallowClone_XMLDocumentmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,100.0,100.0,0.0
XMLComment_ShallowEqual_XMLNode_constmul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
XMLDeclaration_Accept_XMLVisitormul_,tinyxml2.cpp,tinyxml2,100.0,100.0,0.0,50.0,50.0,0.0
