Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
_escapee_unsigned_char_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_getCommentAfter_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,41.67,41.67,0.0,16.67,16.67
_next_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_parseLoop_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,25.0,25.0,0.0,33.33,33.33
_peek_Parsermul_int_,hjson_decode.cpp,hjson_cpp,0.0,75.0,75.0,0.0,50.0,50.0
_prev_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_readArrayBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,20.0,20.0,0.0,0.0,0.0
_readArrayElemEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,15.0,15.0,0.0,0.0,0.0
_readKeyname_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,54.55,54.55,0.0,38.89,38.89
_readMLString_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,35.0,35.0,0.0,25.0,25.0
_readObjectBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_readObjectElemBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,50.0,50.0,0.0,50.0,50.0,0.0
_readObjectElemEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,100.0,100.0,0.0,75.0,75.0
_readString_Parsermul_bool_,hjson_decode.cpp,hjson_cpp,0.0,11.11,11.11,0.0,4.55,4.55
_readTfnns2_Parsermul_size_t_,hjson_decode.cpp,hjson_cpp,68.75,68.75,0.0,53.57,53.57,0.0
_readTfnns_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,40.0,40.0,0.0,0.0,0.0
_readValueBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,30.77,30.77,0.0,25.0,25.0
_readValueEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_rootValue_Parsermul_,hjson_decode.cpp,hjson_cpp,28.57,71.43,42.86,10.0,40.0,30.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_CommentInfo_const_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_toUtf8_std_vector_char_uint32_t_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_white_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,41.67,41.67,0.0,16.67,16.67
_fromUtf8_unsigned_char_constmulmul_size_tmul_,hjson_encode.cpp,hjson_cpp,0.0,56.67,56.67,0.0,38.89,38.89
_isInComment_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,85.71,85.71,0.0
_marshalLoop_Encodermul_Value_const_,hjson_encode.cpp,hjson_cpp,30.0,50.0,20.0,33.33,66.67,33.33
_marshalStream_Value_const_EncoderOptions_const_std_ostreammul_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_meta_char_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_mlString_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,0.0,28.0,28.0,0.0,16.67,16.67
_objElem_Encodermul_std_string_const_Value_const_boolmul_std_string_const_,hjson_encode.cpp,hjson_cpp,0.0,80.77,80.77,0.0,50.0,50.0
_quoteForComment_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,85.71,85.71,0.0
_quoteName_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,85.71,85.71,0.0,75.0,75.0,0.0
_quoteReplace_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,0.0,90.91,90.91,0.0,66.67,66.67
_quote_Encodermul_std_string_const_bool_,hjson_encode.cpp,hjson_cpp,0.0,40.91,40.91,0.0,38.89,38.89
_writeIndent_Encodermul_int_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_writeMapElemBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_writeValueBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,0.0,42.31,42.31,0.0,23.08,23.08
_writeVectorElemBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,37.14,37.14,0.0,27.27,27.27,0.0
Json_contains_std_string_const_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getArray_,json.cpp,json_cpp,0.0,66.67,66.67,0.0,50.0,50.0
Json_getBool_,json.cpp,json_cpp,0.0,66.67,66.67,0.0,50.0,50.0
Json_getDouble_,json.cpp,json_cpp,0.0,50.0,50.0,0.0,33.33,33.33
Json_getFloat_,json.cpp,json_cpp,0.0,50.0,50.0,0.0,33.33,33.33
Json_getLong_,json.cpp,json_cpp,0.0,66.67,66.67,0.0,50.0,50.0
Json_getNumber_,json.cpp,json_cpp,0.0,60.0,60.0,0.0,50.0,50.0
Json_getObject_,json.cpp,json_cpp,66.67,66.67,0.0,50.0,50.0,0.0
Json_getString_,json.cpp,json_cpp,0.0,100.0,100.0,0.0,100.0,100.0
Json_Json_char_constmul_,json.cpp,json_cpp,75.0,100.0,25.0,50.0,100.0,50.0
Json_Json_Json_,json.cpp,json_cpp,0.0,22.22,22.22,0.0,11.11,11.11
Json_Json_Json_const_,json.cpp,json_cpp,0.0,29.41,29.41,0.0,22.22,22.22
Json_Json_std_string_const_,json.cpp,json_cpp,0.0,0.0,0.0,0.0,0.0,0.0
Json_Json_unsigned_long_,json.cpp,json_cpp,60.0,60.0,0.0,50.0,50.0,0.0
Json_Json_unsigned_long_long_,json.cpp,json_cpp,60.0,100.0,40.0,50.0,100.0,50.0
Json_operatorequal_Json_,json.cpp,json_cpp,0.0,39.13,39.13,0.0,30.77,30.77
Json_operatorequal_Json_const_,json.cpp,json_cpp,0.0,45.45,45.45,0.0,38.46,38.46
Json_operator_size_t_,json.cpp,json_cpp,0.0,100.0,100.0,0.0,50.0,50.0
Json_operator_std_string_const_,json.cpp,json_cpp,100.0,100.0,0.0,50.0,50.0,0.0
Json_parse_std_string_const_,json.cpp,json_cpp,0.0,63.64,63.64,0.0,25.0,25.0
Json_setArray_,json.cpp,json_cpp,0.0,75.0,75.0,0.0,50.0,50.0
Json_setObject_,json.cpp,json_cpp,75.0,75.0,0.0,50.0,50.0,0.0
Json_StatusToString_Json_Status_,json.cpp,json_cpp,0.0,0.0,0.0,0.0,0.0,0.0
Json_toStringPretty_,json.cpp,json_cpp,100.0,100.0,0.0,0.0,0.0,0.0
Json_toString_,json.cpp,json_cpp,100.0,100.0,0.0,0.0,0.0,0.0
LongToString_charmul_long_long_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
StringToDouble_char_constmul_size_t_intmul_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
UlongToString_charmul_unsigned_long_long_,json.cpp,json_cpp,100.0,100.0,0.0,66.67,66.67,0.0
BArray_addOrModify_void_constmul_bool_,arr.cpp,jvar,0.0,25.0,25.0,0.0,0.0,0.0
BArray_clear_,arr.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
BArray_find_void_constmul_,arr.cpp,jvar,0.0,50.0,50.0,0.0,0.0,0.0
BArray_insert_int_void_constmul_,arr.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
BArray_remove_int_,arr.cpp,jvar,0.0,91.67,91.67,0.0,50.0,50.0
BArray_remove_void_constmul_,arr.cpp,jvar,0.0,50.0,50.0,0.0,0.0,0.0
BArray_useFixedMem_voidmul_intmul_int_,arr.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
KeywordArray_toKeywordSorted_uint_,arr.cpp,jvar,0.0,90.0,90.0,0.0,83.33,83.33
KeywordArray_toKeyword_uint_,arr.cpp,jvar,0.0,83.33,83.33,0.0,50.0,50.0
KeywordArray_toValue_char_constmul_,arr.cpp,jvar,100.0,100.0,0.0,75.0,75.0,0.0
replaceAll_std_string_jvar_StrMap_,arr.cpp,jvar,0.0,60.0,60.0,0.0,50.0,50.0
StrArray_compare_void_constmul_void_constmul_,arr.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
StrArray_join_char_constmul_,arr.cpp,jvar,100.0,100.0,0.0,75.0,75.0,0.0
StrArray_split_char_constmul_char_constmul_,arr.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
JsonParser_isString_StrBld_bool_,json.cpp,jvar,0.0,84.21,84.21,0.0,56.25,56.25
JsonParser_JsonParser_Variant_char_constmul_uint_,json.cpp,jvar,93.33,100.0,6.67,75.0,83.33,8.33
JsonParser_parseArray_Variant_,json.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
JsonParser_parseElements_Variant_,json.cpp,jvar,0.0,100.0,100.0,0.0,62.5,62.5
JsonParser_parseMembers_Variant_,json.cpp,jvar,92.86,100.0,7.14,87.5,100.0,12.5
JsonParser_parseNum_Variant_,json.cpp,jvar,54.55,54.55,0.0,33.33,33.33,0.0
JsonParser_parseObject_Variant_,json.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
JsonParser_parseString_Variant_,json.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
JsonParser_parseValue_Variant_,json.cpp,jvar,0.0,52.38,52.38,0.0,50.0,50.0
dbl2str_double_,str.cpp,jvar,0.0,100.0,100.0,0.0,0.0,0.0
equalCI_char_constmul_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
equal_char_constmul_char_constmul_,str.cpp,jvar,0.0,100.0,100.0,0.0,100.0,100.0
formatr_char_constmul_,str.cpp,jvar,77.78,77.78,0.0,25.0,25.0,0.0
format_string_char_constmul_,str.cpp,jvar,0.0,71.43,71.43,0.0,25.0,25.0
int2str_longint_,str.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
lowerCase_std_string_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
makeUnicode_char_constmul_int_intmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
makeUTF8_uint_,str.cpp,jvar,0.0,100.0,100.0,0.0,100.0,100.0
Parser_captureDelim_char_constmul_,str.cpp,jvar,0.0,100.0,100.0,0.0,100.0,100.0
Parser_Parser_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
Parser_setError_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,50.0,50.0,0.0
pathChild_std_string_const_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
pathParent_std_string_const_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
pathThisProc_char_constmul_,str.cpp,jvar,63.64,63.64,0.0,50.0,50.0,0.0
replaceAll_std_string_std_string_const_std_string_const_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
Replacer_c_str_,str.cpp,jvar,0.0,100.0,100.0,0.0,50.0,50.0
Replacer_replace_int_int_char_constmul_,str.cpp,jvar,0.0,100.0,100.0,0.0,66.67,66.67
Replacer_setSrc_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
Replacer_str_,str.cpp,jvar,80.0,100.0,20.0,50.0,100.0,50.0
Splitter_get_,str.cpp,jvar,0.0,62.5,62.5,0.0,75.0,75.0
str2baseint_string_const_int_boolmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
str2dbl_string_const_boolmul_,str.cpp,jvar,0.0,100.0,100.0,0.0,50.0,50.0
StrBld_appendFmt_char_constmul_,str.cpp,jvar,60.0,100.0,40.0,0.0,0.0,0.0
StrBld_appendVFmt_char_constmul_va_list_,str.cpp,jvar,0.0,35.29,35.29,0.0,0.0,0.0
StrBld_stripQuotes_bool_,str.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
strHashSedgewick_char_constmul_size_t_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
trimLeft_std_string_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
trimRight_std_string_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
upperCase_std_string_,str.cpp,jvar,0.0,100.0,100.0,0.0,100.0,100.0
vformat_string_char_constmul_va_list_,str.cpp,jvar,0.0,35.29,35.29,0.0,0.0,0.0
Variant_addEnv_char_constmul_Variant_const_,var.cpp,jvar,66.67,66.67,0.0,25.0,25.0,0.0
