Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
_escapee_unsigned_char_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_getCommentAfter_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,41.67,41.67,0.0,16.67,16.67
_next_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_parseLoop_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,25.0,25.0,0.0,33.33,33.33
_peek_Parsermul_int_,hjson_decode.cpp,hjson_cpp,0.0,75.0,75.0,0.0,50.0,50.0
_prev_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_readArrayBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,20.0,20.0,0.0,0.0,0.0
_readArrayElemEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,15.0,15.0,0.0,0.0,0.0
_readKeyname_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,54.55,54.55,0.0,38.89,38.89
_readMLString_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,35.0,35.0,0.0,25.0,25.0
_readObjectBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_readObjectElemBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,50.0,50.0,0.0,50.0,50.0,0.0
_readObjectElemEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,100.0,100.0,0.0,75.0,75.0
_readString_Parsermul_bool_,hjson_decode.cpp,hjson_cpp,0.0,11.11,11.11,0.0,4.55,4.55
_readTfnns2_Parsermul_size_t_,hjson_decode.cpp,hjson_cpp,68.75,68.75,0.0,53.57,53.57,0.0
_readTfnns_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,40.0,40.0,0.0,0.0,0.0
_readValueBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,30.77,30.77,0.0,25.0,25.0
_readValueEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_rootValue_Parsermul_,hjson_decode.cpp,hjson_cpp,28.57,71.43,42.86,10.0,40.0,30.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_CommentInfo_const_,hjson_decode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_toUtf8_std_vector_char_uint32_t_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_white_Parsermul_,hjson_decode.cpp,hjson_cpp,0.0,41.67,41.67,0.0,16.67,16.67
_fromUtf8_unsigned_char_constmulmul_size_tmul_,hjson_encode.cpp,hjson_cpp,0.0,56.67,56.67,0.0,38.89,38.89
_isInComment_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,85.71,85.71,0.0
_marshalLoop_Encodermul_Value_const_,hjson_encode.cpp,hjson_cpp,30.0,50.0,20.0,33.33,66.67,33.33
_marshalStream_Value_const_EncoderOptions_const_std_ostreammul_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_meta_char_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_mlString_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,0.0,28.0,28.0,0.0,16.67,16.67
_objElem_Encodermul_std_string_const_Value_const_boolmul_std_string_const_,hjson_encode.cpp,hjson_cpp,0.0,80.77,80.77,0.0,50.0,50.0
_quoteForComment_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,85.71,85.71,0.0
_quoteName_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,85.71,85.71,0.0,75.0,75.0,0.0
_quoteReplace_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,0.0,90.91,90.91,0.0,66.67,66.67
_quote_Encodermul_std_string_const_bool_,hjson_encode.cpp,hjson_cpp,0.0,40.91,40.91,0.0,38.89,38.89
_writeIndent_Encodermul_int_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_writeMapElemBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,0.0,0.0,0.0,0.0,0.0,0.0
_writeValueBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,0.0,42.31,42.31,0.0,23.08,23.08
_writeVectorElemBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,37.14,37.14,0.0,27.27,27.27,0.0
AVERAGE - hjson_cpp,,hjson_cpp,31.58,55.06,23.48,29.49,44.82,15.33
