Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
BArray_addOrModify_void_constmul_bool_,arr.cpp,jvar,0.0,25.0,25.0,0.0,0.0,0.0
BArray_clear_,arr.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
BArray_find_void_constmul_,arr.cpp,jvar,0.0,50.0,50.0,0.0,0.0,0.0
BArray_insert_int_void_constmul_,arr.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
BArray_remove_int_,arr.cpp,jvar,0.0,91.67,91.67,0.0,50.0,50.0
BArray_remove_void_constmul_,arr.cpp,jvar,0.0,50.0,50.0,0.0,0.0,0.0
BArray_useFixedMem_voidmul_intmul_int_,arr.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
KeywordArray_toKeywordSorted_uint_,arr.cpp,jvar,0.0,90.0,90.0,0.0,83.33,83.33
KeywordArray_toKeyword_uint_,arr.cpp,jvar,0.0,83.33,83.33,0.0,50.0,50.0
KeywordArray_toValue_char_constmul_,arr.cpp,jvar,100.0,100.0,0.0,75.0,75.0,0.0
replaceAll_std_string_jvar_StrMap_,arr.cpp,jvar,0.0,60.0,60.0,0.0,50.0,50.0
StrArray_compare_void_constmul_void_constmul_,arr.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
StrArray_join_char_constmul_,arr.cpp,jvar,100.0,100.0,0.0,75.0,75.0,0.0
StrArray_split_char_constmul_char_constmul_,arr.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
JsonParser_isString_StrBld_bool_,json.cpp,jvar,0.0,84.21,84.21,0.0,56.25,56.25
JsonParser_JsonParser_Variant_char_constmul_uint_,json.cpp,jvar,93.33,100.0,6.67,75.0,83.33,8.33
JsonParser_parseArray_Variant_,json.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
JsonParser_parseElements_Variant_,json.cpp,jvar,0.0,100.0,100.0,0.0,62.5,62.5
JsonParser_parseMembers_Variant_,json.cpp,jvar,92.86,100.0,7.14,87.5,100.0,12.5
JsonParser_parseNum_Variant_,json.cpp,jvar,54.55,54.55,0.0,33.33,33.33,0.0
JsonParser_parseObject_Variant_,json.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
JsonParser_parseString_Variant_,json.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
JsonParser_parseValue_Variant_,json.cpp,jvar,0.0,52.38,52.38,0.0,50.0,50.0
dbl2str_double_,str.cpp,jvar,0.0,100.0,100.0,0.0,0.0,0.0
equalCI_char_constmul_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
equal_char_constmul_char_constmul_,str.cpp,jvar,0.0,100.0,100.0,0.0,100.0,100.0
formatr_char_constmul_,str.cpp,jvar,77.78,77.78,0.0,25.0,25.0,0.0
format_string_char_constmul_,str.cpp,jvar,0.0,71.43,71.43,0.0,25.0,25.0
int2str_longint_,str.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
lowerCase_std_string_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
makeUnicode_char_constmul_int_intmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
makeUTF8_uint_,str.cpp,jvar,0.0,100.0,100.0,0.0,100.0,100.0
Parser_captureDelim_char_constmul_,str.cpp,jvar,0.0,100.0,100.0,0.0,100.0,100.0
Parser_Parser_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
Parser_setError_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,50.0,50.0,0.0
pathChild_std_string_const_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
pathParent_std_string_const_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
pathThisProc_char_constmul_,str.cpp,jvar,63.64,63.64,0.0,50.0,50.0,0.0
replaceAll_std_string_std_string_const_std_string_const_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
Replacer_c_str_,str.cpp,jvar,0.0,100.0,100.0,0.0,50.0,50.0
Replacer_replace_int_int_char_constmul_,str.cpp,jvar,0.0,100.0,100.0,0.0,66.67,66.67
Replacer_setSrc_char_constmul_,str.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
Replacer_str_,str.cpp,jvar,80.0,100.0,20.0,50.0,100.0,50.0
Splitter_get_,str.cpp,jvar,0.0,62.5,62.5,0.0,75.0,75.0
str2baseint_string_const_int_boolmul_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
str2dbl_string_const_boolmul_,str.cpp,jvar,0.0,100.0,100.0,0.0,50.0,50.0
StrBld_appendFmt_char_constmul_,str.cpp,jvar,60.0,100.0,40.0,0.0,0.0,0.0
StrBld_appendVFmt_char_constmul_va_list_,str.cpp,jvar,0.0,35.29,35.29,0.0,0.0,0.0
StrBld_stripQuotes_bool_,str.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
strHashSedgewick_char_constmul_size_t_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
trimLeft_std_string_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
trimRight_std_string_,str.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
upperCase_std_string_,str.cpp,jvar,0.0,100.0,100.0,0.0,100.0,100.0
vformat_string_char_constmul_va_list_,str.cpp,jvar,0.0,35.29,35.29,0.0,0.0,0.0
Variant_addEnv_char_constmul_Variant_const_,var.cpp,jvar,66.67,66.67,0.0,25.0,25.0,0.0
Variant_addOrModifyProperty_char_constmul_,var.cpp,jvar,0.0,41.67,41.67,0.0,12.5,12.5
Variant_addProperty_char_constmul_Variant_const_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
Variant_append_Variant_const_,var.cpp,jvar,0.0,20.0,20.0,0.0,16.67,16.67
Variant_createArray_char_constmul_,var.cpp,jvar,71.43,71.43,0.0,50.0,50.0,0.0
Variant_createFunction_Variant_mul_Variant_Variant_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
Variant_createObject_char_constmul_,var.cpp,jvar,71.43,71.43,0.0,50.0,50.0,0.0
Variant_eq_char_constmul_,var.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
Variant_extInterface_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
Variant_format_char_constmul_,var.cpp,jvar,0.0,66.67,66.67,0.0,33.33,33.33
Variant_getKey_int_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
Variant_hasProperty_char_constmul_,var.cpp,jvar,0.0,60.0,60.0,0.0,25.0,25.0
Variant_indexOf_char_constmul_,var.cpp,jvar,66.67,66.67,0.0,50.0,50.0,0.0
Variant_internalAdd_Variant_const_Variant_const_,var.cpp,jvar,0.0,46.67,46.67,0.0,42.86,42.86
Variant_internalSetPtr_Variant_constmul_,var.cpp,jvar,0.0,71.43,71.43,0.0,50.0,50.0
Variant_lastIndexOf_char_constmul_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
Variant_length_,var.cpp,jvar,0.0,60.0,60.0,0.0,50.0,50.0
Variant_makeJson_StrBld_,var.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
Variant_operator_char_constmul_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
Variant_operator_int_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
Variant_parseJson_char_constmul_,var.cpp,jvar,0.0,75.0,75.0,0.0,50.0,50.0
Variant_path_char_constmul_,var.cpp,jvar,0.0,66.67,66.67,0.0,50.0,50.0
Variant_removeProperty_char_constmul_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
Variant_split_char_constmul_char_constmul_,var.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
Variant_s_,var.cpp,jvar,0.0,100.0,100.0,0.0,50.0,50.0
Variant_toFixed_int_,var.cpp,jvar,0.0,85.71,85.71,0.0,50.0,50.0
Variant_toJsonString_,var.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
Variant_toStrE_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
Variant_toString_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
Variant_typeName_,var.cpp,jvar,0.0,0.0,0.0,0.0,0.0,0.0
AVERAGE - jvar,,jvar,38.08,67.35,29.27,23.76,42.45,18.69
