Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
_escapee_unsigned_char_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_getCommentAfter_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,77.78,77.78,0.0
_next_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_parseLoop_Parsermul_,hjson_decode.cpp,hjson_cpp,75.0,81.25,6.25,77.78,88.89,11.11
_peek_Parsermul_int_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_prev_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_readArrayBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_readArrayElemEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,15.0,15.0,0.0,0.0,0.0,0.0
_readKeyname_Parsermul_,hjson_decode.cpp,hjson_cpp,95.45,100.0,4.55,88.89,94.44,5.56
_readMLString_Parsermul_,hjson_decode.cpp,hjson_cpp,85.0,85.0,0.0,66.67,66.67,0.0
_readObjectBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_readObjectElemBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,50.0,50.0,0.0,50.0,50.0,0.0
_readObjectElemEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,13.04,65.22,52.17,0.0,50.0,50.0
_readString_Parsermul_bool_,hjson_decode.cpp,hjson_cpp,86.11,94.44,8.33,72.73,86.36,13.64
_readTfnns2_Parsermul_size_t_,hjson_decode.cpp,hjson_cpp,78.12,78.12,0.0,64.29,64.29,0.0
_readTfnns_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,0.0,0.0,0.0
_readValueBegin_Parsermul_,hjson_decode.cpp,hjson_cpp,61.54,84.62,23.08,75.0,100.0,25.0
_readValueEnd_Parsermul_,hjson_decode.cpp,hjson_cpp,75.0,100.0,25.0,0.0,0.0,0.0
_rootValue_Parsermul_,hjson_decode.cpp,hjson_cpp,28.57,76.19,47.62,10.0,60.0,50.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_setComment_Value_void_std_string_const_Parsermul_CommentInfo_const_CommentInfo_const_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_toUtf8_std_vector_char_uint32_t_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_white_Parsermul_,hjson_decode.cpp,hjson_cpp,100.0,100.0,0.0,66.67,66.67,0.0
_fromUtf8_unsigned_char_constmulmul_size_tmul_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,94.44,94.44,0.0
_isInComment_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,85.71,85.71,0.0
_marshalLoop_Encodermul_Value_const_,hjson_encode.cpp,hjson_cpp,0.0,40.0,40.0,0.0,50.0,50.0
_marshalStream_Value_const_EncoderOptions_const_std_ostreammul_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_meta_char_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_mlString_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,92.0,92.0,0.0,83.33,83.33,0.0
_objElem_Encodermul_std_string_const_Value_const_boolmul_std_string_const_,hjson_encode.cpp,hjson_cpp,84.62,96.15,11.54,80.0,90.0,10.0
_quoteForComment_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,85.71,85.71,0.0
_quoteName_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_quoteReplace_Encodermul_std_string_const_,hjson_encode.cpp,hjson_cpp,59.09,90.91,31.82,41.67,75.0,33.33
_quote_Encodermul_std_string_const_bool_,hjson_encode.cpp,hjson_cpp,63.64,72.73,9.09,55.56,66.67,11.11
_writeIndent_Encodermul_int_,hjson_encode.cpp,hjson_cpp,100.0,100.0,0.0,100.0,100.0,0.0
_writeMapElemBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,0.0,29.03,29.03,0.0,16.67,16.67
_writeValueBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,0.0,11.54,11.54,0.0,7.69,7.69
_writeVectorElemBegin_Encodermul_,hjson_encode.cpp,hjson_cpp,28.57,34.29,5.71,18.18,22.73,4.55
AVERAGE - hjson_cpp,,hjson_cpp,76.07,84.12,8.05,65.64,73.24,7.6
