Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
Json_contains_std_string_const_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getArray_,json.cpp,json_cpp,66.67,100.0,33.33,50.0,100.0,50.0
Json_getBool_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getDouble_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getFloat_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getLong_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getNumber_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_getObject_,json.cpp,json_cpp,66.67,100.0,33.33,50.0,100.0,50.0
Json_getString_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_Json_char_constmul_,json.cpp,json_cpp,75.0,100.0,25.0,50.0,100.0,50.0
Json_Json_Json_,json.cpp,json_cpp,94.44,94.44,0.0,88.89,88.89,0.0
Json_Json_Json_const_,json.cpp,json_cpp,94.12,94.12,0.0,88.89,88.89,0.0
Json_Json_std_string_const_,json.cpp,json_cpp,0.0,0.0,0.0,0.0,0.0,0.0
Json_Json_unsigned_long_,json.cpp,json_cpp,0.0,60.0,60.0,0.0,50.0,50.0
Json_Json_unsigned_long_long_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_operatorequal_Json_,json.cpp,json_cpp,95.65,95.65,0.0,92.31,92.31,0.0
Json_operatorequal_Json_const_,json.cpp,json_cpp,90.91,95.45,4.55,84.62,92.31,7.69
Json_operator_size_t_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_operator_std_string_const_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_parse_std_string_const_,json.cpp,json_cpp,63.64,63.64,0.0,25.0,25.0,0.0
Json_setArray_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_setObject_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_StatusToString_Json_Status_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
Json_toStringPretty_,json.cpp,json_cpp,100.0,100.0,0.0,0.0,0.0,0.0
Json_toString_,json.cpp,json_cpp,100.0,100.0,0.0,0.0,0.0,0.0
LongToString_charmul_long_long_,json.cpp,json_cpp,100.0,100.0,0.0,100.0,100.0,0.0
StringToDouble_char_constmul_size_t_intmul_,json.cpp,json_cpp,0.0,100.0,100.0,0.0,50.0,50.0
UlongToString_charmul_unsigned_long_long_,json.cpp,json_cpp,100.0,100.0,0.0,66.67,66.67,0.0
AVERAGE - json_cpp,,json_cpp,83.83,92.98,9.15,71.3,80.5,9.2
