Function Name,File Name,Project,Initial Statement Coverage,Total Statement Coverage,Statement Coverage Change,Initial Branch Coverage,Total Branch Coverage,Branch Coverage Change
BArray_addOrModify_void_constmul_bool_,arr.cpp,jvar,0.0,25.0,25.0,0.0,0.0,0.0
BArray_clear_,arr.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
BArray_find_void_constmul_,arr.cpp,jvar,0.0,50.0,50.0,0.0,0.0,0.0
BArray_insert_int_void_constmul_,arr.cpp,jvar,84.21,84.21,0.0,62.5,62.5,0.0
BArray_remove_int_,arr.cpp,jvar,100.0,100.0,0.0,70.0,70.0,0.0
BArray_remove_void_constmul_,arr.cpp,jvar,0.0,75.0,75.0,0.0,50.0,50.0
BArray_useFixedMem_voidmul_intmul_int_,arr.cpp,jvar,100.0,100.0,0.0,50.0,50.0,0.0
KeywordArray_toKeywordSorted_uint_,arr.cpp,jvar,0.0,80.0,80.0,0.0,66.67,66.67
KeywordArray_toKeyword_uint_,arr.cpp,jvar,0.0,100.0,100.0,0.0,75.0,75.0
KeywordArray_toValue_char_constmul_,arr.cpp,jvar,0.0,100.0,100.0,0.0,75.0,75.0
replaceAll_std_string_jvar_StrMap_,arr.cpp,jvar,60.0,60.0,0.0,50.0,50.0,0.0
StrArray_compare_void_constmul_void_constmul_,arr.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
StrArray_join_char_constmul_,arr.cpp,jvar,85.71,100.0,14.29,50.0,75.0,25.0
StrArray_split_char_constmul_char_constmul_,arr.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
JsonParser_isString_StrBld_bool_,json.cpp,jvar,100.0,100.0,0.0,81.25,81.25,0.0
JsonParser_JsonParser_Variant_char_constmul_uint_,json.cpp,jvar,93.33,93.33,0.0,75.0,75.0,0.0
JsonParser_parseArray_Variant_,json.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
JsonParser_parseElements_Variant_,json.cpp,jvar,100.0,100.0,0.0,87.5,87.5,0.0
JsonParser_parseMembers_Variant_,json.cpp,jvar,100.0,100.0,0.0,100.0,100.0,0.0
JsonParser_parseNum_Variant_,json.cpp,jvar,54.55,54.55,0.0,33.33,33.33,0.0
JsonParser_parseObject_Variant_,json.cpp,jvar,100.0,100.0,0.0,0.0,0.0,0.0
JsonParser_parseString_Variant_,json.cpp,jvar,0.0,100.0,100.0,0.0,0.0,0.0
